address,benefits,destination,image_urls,images,link,name,rating,rooms,star
"140 Lý Tự Trọng, Phường Bến Thành, Quận 1, Hồ Chí Minh","Phòng hội thảo,Truyền hình cáp/vệ tinh,Quán cafe,Spa,Taxi/Cho thuê xe hơi,Dọn phòng hàng ngày,Thu đổi ngoại tệ,Đặt vé xe/máy bay,Thang máy,Wifi miễn phí,Giặt là,Hỗ trợ đặt tour,Nhà hàng,Lễ tân 24/24",Khách sạn Hồ Chí Minh,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/4/jsg1400211781_khach-san-golden-central-sai-gon.jpg","[{'url': 'https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/4/jsg1400211781_khach-san-golden-central-sai-gon.jpg', 'path': 'full/23456c195ca67373b90fbf4cae6e408241a52e0e.jpg', 'checksum': '5a678d70d7d26f6f0785b6a80d9f0105'}]",https://mytour.vn/224-khach-san-golden-central-sai-gon.html,Khách Sạn Golden Central Sài Gòn,7.9,"[{'room_type': 'Deluxe', 'price_per_night': '1,609,000', 'room_size': ['\n                                                                ', '24 m', '\n                                                            ']}, {'room_type': 'Signature ( Double)', 'price_per_night': '1,609,000', 'room_size': ['\n                                                                ', '24 m', '\n                                                            ']}, {'room_type': 'Premier Deluxe', 'price_per_night': '1,755,000', 'room_size': ['\n                                                                ', '26 m', '\n                                                            ']}, {'room_type': 'Signature Twin', 'price_per_night': '1,755,000', 'room_size': ['\n                                                                ', '24 m', '\n                                                            ']}, {'room_type': 'Junior Suite', 'price_per_night': '3,655,000', 'room_size': ['\n                                                                ', '40 m', '\n                                                            ']}, {'room_type': 'Golden suite', 'price_per_night': '4,305,000', 'room_size': ['\n                                                                ', '50 m', '\n                                                            ']}]",star-4
"2 Quảng trường Lam Sơn, Quận 1, Hồ Chí Minh","Hồ bơi ngoài trời,Phòng hội thảo,Quán cafe,Spa,Internet có dây,Hồ bơi trong nhà,Bãi đỗ xe,Phòng họp,Thang máy,Wifi miễn phí,Giặt là,Nhà hàng",Khách sạn Hồ Chí Minh,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/11/ked1540377843_khach_san_park_hyatt_sai_gon.jpg","[{'url': 'https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/11/ked1540377843_khach_san_park_hyatt_sai_gon.jpg', 'path': 'full/268e613b4a7af449cbd95569b67687a46a690ff0.jpg', 'checksum': '554eec4d8ae917dfb3b6568a2512b6ea'}]",https://mytour.vn/211-khach-san-park-hyatt-sai-gon.html,Khách Sạn Park Hyatt Sài Gòn,8.7,,star-5
"1 Đồng Khởi, Quận 1, Hồ Chí Minh","Hồ bơi ngoài trời,Cửa hàng lưu niệm,Phòng hội thảo,Salon,Truyền hình cáp/vệ tinh,Quán cafe,Massage,Sòng bài,Spa,Tắm nước nóng,Internet có dây,Taxi/Cho thuê xe hơi,Phòng xông hơi ướt,Hồ bơi trong nhà,Thu đổi ngoại tệ,Đặt vé xe/máy bay,Tiện nghi cho người khuyết tật,Dịch vụ trông trẻ,Bãi đỗ xe,Phòng họp,Thang máy,Wifi miễn phí,Giặt là,Hỗ trợ đặt tour,Nhà hàng,Lễ tân 24/24,Đưa đón sân bay,Phòng gym",Khách sạn Hồ Chí Minh,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/7/kgr1459139704_khach_san_majestic_sai_gon.jpg","[{'url': 'https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/7/kgr1459139704_khach_san_majestic_sai_gon.jpg', 'path': 'full/82653df2122d0f5057dc61ecd26ab22ae240c60e.jpg', 'checksum': '638bd3d781885569dc708a197c54a8b3'}]",https://mytour.vn/207-khach-san-majestic-sai-gon.html,Khách Sạn Majestic Sài Gòn,8.7,,star-5
"238 Đường 3/2, Quận 10, Hồ Chí Minh","Phòng hội thảo,Sân tennis,Internet có dây,Taxi/Cho thuê xe hơi,Đặt vé xe/máy bay,Bãi đỗ xe,Thang máy,Wifi miễn phí,Giặt là,Hỗ trợ đặt tour,Nhà hàng,Lễ tân 24/24,Đưa đón sân bay",Khách sạn Hồ Chí Minh,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/3/smp1540550362_khach_san_ky_hoa.jpg","[{'url': 'https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/3/smp1540550362_khach_san_ky_hoa.jpg', 'path': 'full/b46561ccbfe57a813e4f6deae608f9e44e5c2517.jpg', 'checksum': '299cbad9a05e2438af9a65347fa30aa3'}]",https://mytour.vn/283-khach-san-ky-hoa.html,Khách Sạn Kỳ Hòa,7.6,"[{'room_type': 'Superior', 'price_per_night': '686,000', 'room_size': ['\n                                                                ', '20 m', '\n                                                            ']}]",star-3
"24 Thi Sách, Phường Bến Nghé, Quận 1, Hồ Chí Minh","Hồ bơi ngoài trời,Phòng hội thảo,Truyền hình cáp/vệ tinh,Quán cafe,Massage,Tắm nước nóng,Internet có dây,Taxi/Cho thuê xe hơi,Thu đổi ngoại tệ,Đặt vé xe/máy bay,Khu vực hút thuốc,Bãi đỗ xe,Phòng họp,Thang máy,Wifi miễn phí,Giặt là,Hỗ trợ đặt tour,Nhà hàng,Lễ tân 24/24,Đưa đón sân bay,Phòng gym",Khách sạn Hồ Chí Minh,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/14/2jm1508730396_khach_san_paragon_sai_gon.jpg","[{'url': 'https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/14/2jm1508730396_khach_san_paragon_sai_gon.jpg', 'path': 'full/0b45f993db4e7b95146715b66b08761469b13a08.jpg', 'checksum': '430c2eae369e480d8983fa169787cd29'}]",https://mytour.vn/274-khach-san-paragon-sai-gon.html,Khách Sạn Paragon Sài Gòn,8.1,,star-4
"43 Trương Định, Phường 6, Quận 3, Hồ Chí Minh","Truyền hình cáp/vệ tinh,Taxi/Cho thuê xe hơi,Dọn phòng hàng ngày,Thu đổi ngoại tệ,Đặt vé xe/máy bay,Thang máy,Wifi miễn phí,Giặt là,Hỗ trợ đặt tour,Lễ tân 24/24",Khách sạn Hồ Chí Minh,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/6/gqw1540550663_khach_san_ruby_star_2.jpg","[{'url': 'https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/6/gqw1540550663_khach_san_ruby_star_2.jpg', 'path': 'full/a872bd114b5febcd9a842fd23bb253546bebdfcd.jpg', 'checksum': '1dac643739efc8e81e8b5ed26635712b'}]",https://mytour.vn/286-khach-san-ruby-star-2.html,Khách Sạn Ruby Star 2,7.5,"[{'room_type': 'Standard Double (No window)', 'price_per_night': '518,000', 'room_size': ['\n                                                                ', '18 m', '\n                                                            ']}, {'room_type': 'Deluxe Twin (No window)', 'price_per_night': '777,000', 'room_size': ['\n                                                                ', '25 m', '\n                                                            ']}]",star-2
"323 Lê Văn Sỹ, Quận 3, Hồ Chí Minh","Hồ bơi ngoài trời,Phòng hội thảo,Truyền hình cáp/vệ tinh,Quán cafe,Sòng bài,Spa,Tắm nước nóng,Taxi/Cho thuê xe hơi,Dọn phòng hàng ngày,Thu đổi ngoại tệ,Đặt vé xe/máy bay,Phòng họp,Thang máy,Wifi miễn phí,Giặt là,Hỗ trợ đặt tour,Nhà hàng,Lễ tân 24/24",Khách sạn Hồ Chí Minh,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/11/jof1487666106_khach_san_ramana.jpg","[{'url': 'https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/11/jof1487666106_khach_san_ramana.jpg', 'path': 'full/cf5a1c13a2b2c4615d6f009c35de71af6d687163.jpg', 'checksum': 'dbef33e25c0088a480fbd9211dac9f28'}]",https://mytour.vn/271-khach-san-ramana.html,Khách Sạn Ramana,7.9,"[{'room_type': 'Superior Room - Casino voucher US $20/booking', 'price_per_night': '1,110,000', 'room_size': ['\n                                                                ', '30 m', '\n                                                            ']}, {'room_type': 'Deluxe Room - Casino voucher US $20/booking', 'price_per_night': '1,211,000', 'room_size': ['\n                                                                ', '35 m', '\n                                                            ']}, {'room_type': 'Executive Sup', 'price_per_night': '1,312,000', 'room_size': ['\n                                                                ', '30 m', '\n                                                            ']}, {'room_type': 'Executive Deluxe Room - Casino voucher US $20/booking', 'price_per_night': '1,413,000', 'room_size': ['\n                                                                ', '35 m', '\n                                                            ']}]",star-4
"129 - 133 Hàm Nghi, Quận 1, Hồ Chí Minh","Cửa hàng lưu niệm,Phòng hội thảo,Salon,Quán cafe,Internet có dây,Cửa hàng mua sắm,Bãi đỗ xe,Phòng họp,Thang máy,Wifi miễn phí,Giặt là,Nhà hàng,Lễ tân 24/24",Khách sạn Hồ Chí Minh,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/11/brh1522919580_khach_san_liberty_2.jpg","[{'url': 'https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/11/brh1522919580_khach_san_liberty_2.jpg', 'path': 'full/615adadbf37af7a54a56987db0f2c4a803c35a91.jpg', 'checksum': '22442483528da6937bc1f6eb36a51bf3'}]",https://mytour.vn/351-khach-san-liberty-2.html,Khách Sạn Liberty 2,7.9,"[{'room_type': 'Deluxe City View (DBL/Twin)', 'price_per_night': '870,000', 'room_size': ['\n                                                                ', '28 m', '\n                                                            ']}, {'room_type': 'Premier Balcony (DBL/Twin)', 'price_per_night': '1,000,000', 'room_size': ['\n                                                                ', '30 m', '\n                                                            ']}, {'room_type': 'Executive Deluxe (DBL/Twin)', 'price_per_night': '1,174,000', 'room_size': ['\n                                                                ', '32 m', '\n                                                            ']}]",star-2
"48-50 Thủ Khoa Huân, Quận 1, Hồ Chí Minh","Phòng hội thảo,Salon,Truyền hình cáp/vệ tinh,Quán cafe,Massage,Spa,Internet có dây,Taxi/Cho thuê xe hơi,Đặt vé xe/máy bay,Cửa hàng mua sắm,Bãi đỗ xe,Phòng họp,Thang máy,Wifi miễn phí,Giặt là,Hỗ trợ đặt tour,Nhà hàng,Lễ tân 24/24,Đưa đón sân bay,Phòng gym",Khách sạn Hồ Chí Minh,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/13/oit1540612551_khach_san_blue_diamond.jpg","[{'url': 'https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/13/oit1540612551_khach_san_blue_diamond.jpg', 'path': 'full/a9f3aabaf1fbc57dc0e39158767661611016b5af.jpg', 'checksum': 'df0037f19ed3c151305fb79f01d2c441'}]",https://mytour.vn/413-khach-san-blue-diamond.html,Khách Sạn Blue Diamond,7.8,"[{'room_type': 'Superior', 'price_per_night': '996,000', 'room_size': ['\n                                                                ', '22 m', '\n                                                            ']}, {'room_type': 'Deluxe', 'price_per_night': '1,233,000', 'room_size': ['\n                                                                ', '30 m', '\n                                                            ']}, {'room_type': 'Premium Deluxe', 'price_per_night': '1,660,000', 'room_size': ['\n                                                                ', '34 m', '\n                                                            ']}, {'room_type': 'Luxury', 'price_per_night': '1,660,000', 'room_size': ['\n                                                                ', '40 m', '\n                                                            ']}, {'room_type': 'Suite', 'price_per_night': '2,608,000', 'room_size': ['\n                                                                ', '74 m', '\n                                                            ']}]",star-3
"102/4 Trần Tuấn Khải, Phường 5, Quận 5, Hồ Chí Minh, Quận 5, Hồ Chí Minh","Quán bar,Truyền hình cáp/vệ tinh,Karaoke,Massage,Spa,Tắm nước nóng,Phòng gia đình,Internet có dây miễn phí,Taxi/Cho thuê xe hơi,Dọn phòng hàng ngày,Giữ hành lý miễn phí,Phòng họp,Thang máy,Wifi miễn phí,Giặt là,Nhà hàng,Lễ tân 24/24,Đưa đón sân bay tính phí,Phòng gym",Khách sạn Hồ Chí Minh,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/15/au01530265579_khach_san_dong_kinh_khu_b.jpg","[{'url': 'https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/hotels/15/au01530265579_khach_san_dong_kinh_khu_b.jpg', 'path': 'full/2ac5de9cb49e09e059698d0452f39e001e0e3a89.jpg', 'checksum': '33a9bc73592e3c5b2f0f20cce9710884'}]",https://mytour.vn/335-khach-san-dong-kinh-khu-b.html,Khách Sạn Đông Kinh (Khu B),7.9,"[{'room_type': 'Standard', 'price_per_night': '574,000', 'room_size': ['\n                                                                ', '21 m', '\n                                                            ']}, {'room_type': 'Superior Twin', 'price_per_night': '627,000', 'room_size': ['\n                                                                ', '22 m', '\n                                                            ']}, {'room_type': 'Deluxe Double', 'price_per_night': '679,000', 'room_size': ['\n                                                                ', '24 m', '\n                                                            ']}, {'room_type': 'Deluxe Twin', 'price_per_night': '679,000', 'room_size': ['\n                                                                ', '24 m', '\n                                                            ']}, {'room_type': 'Connecting room', 'price_per_night': '1,148,000', 'room_size': ['\n                                                                ', '45 m', '\n                                                            ']}]",star-3
